name,sex.byname
jose luis,1
javier,1
francisco javier,1
jose antonio,1
jose maria,1
jesus,1
antonio,1
aitor,1
jose,1
david,1
mikel,1
iker,1
manuel,1
francisco,1
fernando,1
jon,1
asier,1
miguel angel,1
iñigo,1
angel,1
roberto,1
carlos,1
alberto,1
jose ignacio,1
juan carlos,1
unai,1
daniel,1
oscar,1
eduardo,1
luis,1
ander,1
pedro,1
pablo,1
sergio,1
iñaki,1
jose manuel,1
jesus maria,1
juan,1
ruben,1
juan jose,1
gorka,1
ignacio,1
raul,1
alvaro,1
jorge,1
felix,1
miguel,1
ivan,1
xabier,1
enrique,1
alejandro,1
rafael,1
juan antonio,1
joaquin,1
andres,1
ramon,1
vicente,1
emilio,1
francisco jose,1
diego,1
julian,1
alfonso,1
adrian,1
santiago,1
juan manuel,1
pascual,1
jose miguel,1
mario,1
salvador,1
jaime,1
victor,1
mohamed,1
juan francisco,1
antonio jesus,1
jose francisco,1
gabriel,1
mohammed,1
mariano,1
julio,1
marcos,1
agustin,1
tomas,1
ismael,1
bartolome,1
joan,1
sebastian,1
marc,1
guillermo,1
antoni,1
jaume,1
miquel,1
lorenzo,1
pau,1
jordi,1
josep,1
albert,1
xavier,1
alex,1
pol,1
oriol,1
sergi,1
gerard,1
rodrigo,1
ricardo,1
felipe,1
manuel jesus,1
cristobal,1
juan luis,1
jose vicente,1
cristian,1
gregorio,1
antonio jose,1
francisco manuel,1
jose ramon,1
martin,1
pere,1
lluis,1
francesc,1
joaquim,1
josep maria,1
carles,1
marti,1
arnau,1
adria,1
antonio manuel,1
julen,1
eneko,1
imanol,1
igor,1
beñat,1
oier,1
aritz,1
andoni,1
josu,1
domingo,1
hector,1
roger,1
joel,1
jose angel,1
hugo,1
gonzalo,1
jose carlos,1
samuel,1
gines,1
pedro jose,1
jose javier,1
benito,1
camilo,1
celso,1
alfredo,1
luis angel,1
cesar,1
carmelo,1
jose juan,1
victor manuel,1
ahmed,1
mustafa,1
bilal,1
omar,1
yusef,1
adam,1
abdeselam,1
said,1
hassan,1
rachid,1
abdelkader,1
karim,1
ali,1
mimoun,1
nabil,1
hamed,1
sufian,1
samir,1
farid,1
maria carmen,2
maria pilar,2
maria teresa,2
maria,2
maria angeles,2
ana maria,2
maria jesus,2
maria isabel,2
maria luisa,2
isabel,2
laura,2
rosa maria,2
leire,2
marta,2
maria dolores,2
maria begoña,2
nerea,2
carmen,2
ainhoa,2
ana,2
estibaliz,2
raquel,2
sara,2
maria concepcion,2
elena,2
amaia,2
begoña,2
maria rosario,2
lucia,2
pilar,2
ane,2
maria jose,2
maria mercedes,2
susana,2
cristina,2
beatriz,2
ana isabel,2
mercedes,2
sonia,2
paula,2
maria nieves,2
yolanda,2
francisca,2
josefa,2
maria aranzazu,2
blanca,2
irati,2
julia,2
margarita,2
teresa,2
dolores,2
antonia,2
encarnacion,2
juana,2
rosario,2
manuela,2
maria llanos,2
maria josefa,2
angeles,2
concepcion,2
irene,2
angela,2
ana belen,2
rocio,2
amparo,2
alicia,2
consuelo,2
rosa,2
ascension,2
andrea,2
patricia,2
silvia,2
marina,2
veronica,2
asuncion,2
alba,2
natalia,2
inmaculada,2
maria mar,2
isabel maria,2
carmen maria,2
fatima,2
trinidad,2
noelia,2
maria sonsoles,2
sonsoles,2
victoria,2
luisa,2
catalina,2
petra,2
purificacion,2
guadalupe,2
magdalena,2
maria antonia,2
maria magdalena,2
juana maria,2
nuria,2
aina,2
barbara,2
monica,2
sandra,2
margalida,2
montserrat,2
anna,2
laia,2
eva,2
mireia,2
maria rosa,2
carla,2
esther,2
maria cruz,2
maria victoria,2
emilia,2
felisa,2
milagros,2
eva maria,2
vicenta,2
josefina,2
maria prado,2
juliana,2
rafaela,2
araceli,2
aurora,2
maria elena,2
maria luz,2
esperanza,2
dolors,2
gemma,2
carme,2
maria dolors,2
maria angustias,2
maria lourdes,2
maialen,2
maite,2
maider,2
maria asuncion,2
miren,2
idoia,2
itziar,2
ainara,2
olatz,2
eider,2
nora,2
maria rocio,2
maria cinta,2
ramona,2
maria carme,2
merce,2
meritxell,2
celia,2
ines,2
remedios,2
leyre,2
amaya,2
elvira,2
elisa,2
celsa,2
lorena,2
maria pino,2
carmen delia,2
carolina,2
claudia,2
daniela,2
iria,2
maria candelaria,2
candelaria,2
carmen rosa,2
maria fuencisla,2
joaquina,2
sagrario,2
maria amparo,2
iratxe,2
ana cristina,2
africa,2
mariam,2
malika,2
rahma,2
yasmina,2
maria africa,2
nadia,2
fatima sohora,2
sohora,2
rachida,2
salma,2
mina,2
aicha,2
naima,2
erhimo,2
noor,2
dina,2
fadma,2
yamina,2
karima,2
samira,2
farah,2
mimount,2
soraya,2
habiba,2
farida,2
dunia,2
mariem,2
laila,2
ikram,2
fatiha,2
saida,2
iman,2
