name,sex.byname
abdullah,1
abidin,1
acar,1
acaralp,1
acarsoy,1
açelya,2
acun,1
adem,1
adil,1
adnan,1
afşar,1
ağa,1
agah,1
ağca,1
ahmet,1
ahsen,2
aka,1
akabey,1
akad,1
akalp,1
akan,1
akant,1
akarca,1
akarsel,1
akata,1
akay,1
akba,1
akbaran,1
akbatu,1
akbatur,1
akdemir,1
akdeniz,1
aker,1
akergin,1
akgüç,1
akgün,1
akhan,1
akıman,1
akin,1
akın,1
akınalp,1
akıner,1
akıntan,1
akkor,1
akköz,1
akman,1
akmeriç,1
aköz,1
akpolat,1
aksal,1
aksan,1
aksen,2
akşit,1
aksu,2
aktan,1
aktaş,1
aktuğ,1
ala,2
alanur,2
alara,2
alatan,1
alayça,2
alaz,1
alçin,2
alçın,1
alev,2
aleyna,2
algan,1
algın,1
algül,2
algün,2
alhan,1
ali,1
alican,1
alım,2
aliriza,1
alkan,1
alkın,1
alkun,1
almıla,2
alp,1
alpağan,1
alpagut,1
alparslan,1
alpay,1
alpdemir,1
alpdoğan,1
alper,1
alperen,1
alphan,1
alpkan,1
alsan,1
altan,1
altaner,1
altay,1
altuğ,1
altunç,1
altuner,1
anatolya,2
anı,1
anil,1
ant,1
aral,1
aran,1
aras,1
arat,1
arca,1
ardıl,1
arhan,1
arı,1
arıca,1
arıcan,1
arıkan,1
arın,1
arınç,1
arkan,1
arkın,1
arkut,1
armağan,1
arman,1
arol,1
arslan,1
artun,1
artunç,1
arya,2
asena,2
aşkım,2
asli,2
aslı,2
aslıhan,2
aslım,2
asu,2
ata,1
ataalp,1
atabey,1
atacan,1
atahan,1
atak,1
atakan,1
atalay,1
ataman,1
atanur,1
ateş,2
atil,1
atıl,1
atılgan,1
atınç,1
ay,2
ayaz,1
aybars,1
ayberk,1
aybike,2
aybora,1
ayca,2
ayça,2
aycan,2
ayda,2
aydan,2
aydeniz,2
aydin,1
aydın,1
aygül,2
aygün,2
ayhan,1
aykut,1
ayla,2
aylan,2
aylin,2
aymete,1
aynur,2
ayperi,2
aypolat,1
aysan,2
ayşan,2
ayşe,2
ayşegül,2
aysel,2
ayşen,2
ayşenur,2
ayşıl,2
aysın,2
ayşin,2
ayşın,2
aysun,2
aysuna,2
ayten,2
aytolun,2
aytül,2
aytun,1
aytunç,1
aytunca,1
ayzıt,2
azra,2
azrak,1
bade,2
baha,1
bahadır,1
bahri,1
balaban,1
balamir,1
balcan,2
baldan,2
balım,2
balki,1
balkır,1
banu,2
baran,1
baranalp,1
baransel,1
barbaros,1
barçın,1
barın,1
bariş,1
barış,1
barkin,1
barkın,1
barlas,1
bartu,1
bartunç,1
başak,2
başar,1
başaran,1
başer,1
başhan,1
batı,1
batıbek,1
batıhan,1
batu,1
batuhan,1
batur,1
baturalp,1
baturay,1
baturhan,1
baybars,1
baybora,1
bayhan,1
baykal,1
baykam,1
baykan,1
baysal,1
baysan,1
begüm,2
beha,1
behir,1
beker,1
bekir,1
